Site                 Ci1              theta1              theta2              theta3
   1    2.5475248502E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   2    4.3480510051E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   3    5.6154150573E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   4    6.5001334600E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   5    7.1072783711E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   6    7.5089563794E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   7    7.7528721275E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   8    7.8679938769E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   9    7.8679938769E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  10    7.7528721275E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  11    7.5089563794E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  12    7.1072783711E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  13    6.5001334600E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  14    5.6154150573E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  15    4.3480510051E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  16    2.5475248502E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  17    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000000000E+00
  18    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000000000E+00
  19    2.4699448472E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  20    4.2085029359E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  21    5.4221513208E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  22    6.2550270003E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  23    6.8060451147E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  24    7.1406464442E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  25    7.2985693774E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  26    7.2985693774E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  27    7.1406464442E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  28    6.8060451147E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  29    6.2550270003E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  30    5.4221513208E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  31    4.2085029359E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  32    2.4699448472E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  33    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000000000E+00
  34    2.3274717623E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  35    3.9522275665E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  36    5.0672289220E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  37    5.8048971716E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  38    6.2528402982E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  39    6.4642575467E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  40    6.4642575467E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  41    6.2528402982E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  42    5.8048971716E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  43    5.0672289220E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  44    3.9522275665E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  45    2.3274717623E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  46    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000000000E+00
  47    2.9338279250E-02    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  48    2.9338279250E-02    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  49    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000000000E+00
  50    2.9338279250E-02    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  51    2.9338279250E-02    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
