Site                 Ci1              theta1              theta2              theta3
   1    2.6306777202E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   2    4.4976233436E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   3    5.8225616642E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   4    6.7628468503E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   5    7.4301503596E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   6    7.9037234201E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   7    8.2398091746E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   8    8.4783223070E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
   9    8.6475894460E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  10    8.7677133309E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  11    8.8529602819E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  12    8.9134545158E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  13    8.9563805331E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  14    8.9868363731E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  15    9.0084390748E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  16    9.0237542482E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  17    9.0346007753E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  18    9.0422668265E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  19    9.0476628478E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  20    9.0514296893E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  21    9.0540147136E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  22    9.0557249271E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  23    9.0567634405E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  24    9.0572535913E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  25    9.0572535913E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  26    9.0567634405E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  27    9.0557249271E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  28    9.0540147136E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  29    9.0514296893E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  30    9.0476628478E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  31    9.0422668265E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  32    9.0346007753E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  33    9.0237542482E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  34    9.0084390748E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  35    8.9868363731E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  36    8.9563805331E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  37    8.9134545158E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  38    8.8529602819E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  39    8.7677133309E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  40    8.6475894460E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  41    8.4783223070E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  42    8.2398091746E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  43    7.9037234201E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  44    7.4301503596E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  45    6.7628468503E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  46    5.8225616642E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  47    4.4976233436E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  48    2.6306777202E-01    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  49    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000000000E+00
  50    2.9338279250E-02    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
  51    2.9338279250E-02    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00
